2019-06-13 15:25:56 EXEC SPC_COM_MENU '1';
2019-06-13 15:25:59 EXEC SPC_COM_MENU '1';
2019-06-13 15:26:05 EXEC SPC_COM_MENU '1';
2019-06-13 15:26:51 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:26:51 EXEC SPC_COM_MENU '1';
2019-06-13 15:26:52 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:26:52 EXEC SPC_COM_MENU '1';
2019-06-13 15:26:54 EXEC SPC_COM_MENU '1';
2019-06-13 15:26:57 EXEC SPC_COM_MENU '1';
2019-06-13 15:27:52 EXEC SPC_COM_MENU '1';
2019-06-13 15:29:18 EXEC SPC_COM_MENU '1';
2019-06-13 15:29:21 EXEC SPC_COM_MENU '1';
2019-06-13 15:46:32 EXEC SPC_COM_MENU '1';
2019-06-13 15:46:36 EXEC SPC_COM_MENU '1';
2019-06-13 15:52:53 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:52:53 EXEC SPC_COM_MENU '1';
2019-06-13 15:52:54 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:52:54 EXEC SPC_COM_MENU '1';
2019-06-13 15:53:00 EXEC SPC_COM_MENU '1';
2019-06-13 15:54:00 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:54:00 EXEC SPC_COM_MENU '1';
2019-06-13 15:54:01 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 15:54:01 EXEC SPC_COM_MENU '1';
2019-06-13 15:54:06 EXEC SPC_COM_MENU '1';
2019-06-13 15:54:10 EXEC SPC_COM_MENU '1';
2019-06-13 16:02:13 EXEC SPC_COM_MENU '1';
2019-06-13 16:06:33 EXEC SPC_COM_MENU '1';
2019-06-13 16:06:46 EXEC SPC_COM_MENU '1';
2019-06-13 16:33:46 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:07 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 16:50:07 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:08 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 16:50:08 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:11 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:19 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:36 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 16:50:36 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:37 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 16:50:37 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:41 EXEC SPC_COM_MENU '1';
2019-06-13 16:50:45 EXEC SPC_COM_MENU '1';
2019-06-13 17:00:57 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:00:57 EXEC SPC_COM_MENU '1';
2019-06-13 17:00:58 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:00:58 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:01 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:06 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:25 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:01:25 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:25 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:01:25 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:30 EXEC SPC_COM_MENU '1';
2019-06-13 17:01:40 EXEC SPC_COM_MENU '1';
2019-06-13 17:05:03 EXEC SPC_COM_MENU '1';
